Date,Open
2023-01-19,94.739998
2023-01-20,93.860001
2023-01-21,95.09333333333333
2023-01-22,96.32666566666666
2023-01-23,97.559998
2023-01-24,96.93
2023-01-25,92.559998
2023-01-26,98.239998
2023-01-27,99.529999
2023-01-28,100.049998
2023-01-29,100.569997
2023-01-30,101.089996
2023-01-31,101.160004
2023-02-01,102.529999
2023-02-02,110.25
2023-02-03,105.260002
2023-02-04,104.48333466666666
2023-02-05,103.70666733333334
2023-02-06,102.93
2023-02-07,101.169998
2023-02-08,102.040001
2023-02-09,101.32
2023-02-10,97.559998
2023-02-11,97.65666466666666
2023-02-12,97.75333133333334
2023-02-13,97.849998
2023-02-14,98.410004
2023-02-15,99.089996
2023-02-16,99.209999
2023-02-17,97.800003
2023-02-18,97.18500125
2023-02-19,96.5699995
2023-02-20,95.95499775
2023-02-21,95.339996
2023-02-22,95.099998
2023-02-23,96.120003
2023-02-24,93.529999
2023-02-25,93.779999
2023-02-26,94.029999
2023-02-27,94.279999
2023-02-28,93.139999
2023-03-01,93.870003
2023-03-02,91.410004
2023-03-03,92.739998
2023-03-04,93.556666
2023-03-05,94.373334
2023-03-06,95.190002
2023-03-07,94.059998
2023-03-08,93.599998
2023-03-09,93.68
2023-03-10,92.669998
2023-03-11,91.769999
2023-03-12,90.87
2023-03-13,89.970001
2023-03-14,93.830002
2023-03-15,93.220001
2023-03-16,95.75
2023-03-17,99.790001
2023-03-18,99.33000200000001
2023-03-19,98.870003
2023-03-20,98.410004
2023-03-21,98.139999
2023-03-22,100.449997
2023-03-23,100.43
2023-03-24,98.07
2023-03-25,98.40333333333332
2023-03-26,98.73666666666666
2023-03-27,99.07
2023-03-28,98.110001
2023-03-29,98.690002
2023-03-30,101.550003
2023-03-31,102.160004
2023-04-01,102.20667033333334
2023-04-02,102.25333666666667
2023-04-03,102.300003
2023-04-04,102.75
2023-04-05,103.910004
2023-04-06,100.75
2023-04-07,100.80249975
2023-04-08,100.85499949999999
2023-04-09,100.90749925
2023-04-10,100.959999
2023-04-11,100.800003
2023-04-12,100.400002
2023-04-13,98.949997
2023-04-14,102.07
2023-04-15,102.43333466666667
2023-04-16,102.79666933333333
2023-04-17,103.160004
2023-04-18,103.949997
2023-04-19,101.580002
2023-04-20,103.529999
2023-04-21,106.099998
2023-04-22,106.62
2023-04-23,107.140002
2023-04-24,107.660004
2023-04-25,104.910004
2023-04-26,105.040001
2023-04-27,108.160004
2023-04-28,107.730003
2023-04-29,106.80333433333332
2023-04-30,105.87666566666667
2023-05-01,104.949997
2023-05-02,101.470001
2023-05-03,103.739998
2023-05-04,104.040001
2023-05-05,104.269997
2023-05-06,104.52666500000001
2023-05-07,104.783333
2023-05-08,105.040001
2023-05-09,105.480003
2023-05-10,108.099998
2023-05-11,111.029999
2023-05-12,112.160004
2023-05-13,111.82333666666666
2023-05-14,111.48666933333334
2023-05-15,111.150002
2023-05-16,111.050003
2023-05-17,114.889999
2023-05-18,116.690002
2023-05-19,118.160004
2023-05-20,117.69666833333333
2023-05-21,117.23333266666667
2023-05-22,116.769997
2023-05-23,114.269997
2023-05-24,115.349998
2023-05-25,116.629997
2023-05-26,116.040001
2023-05-27,117.6225015
2023-05-28,119.20500200000001
2023-05-29,120.7875025
2023-05-30,122.370003
2023-05-31,121.449997
2023-06-01,120.690002
2023-06-02,124.919998
2023-06-03,124.39999900000001
2023-06-04,123.88
2023-06-05,123.360001
2023-06-06,125.07
2023-06-07,127.010002
2023-06-08,123.010002
2023-06-09,124.080002
2023-06-10,124.06000033333333
2023-06-11,124.03999866666666
2023-06-12,124.019997
2023-06-13,128.119995
2023-06-14,126.699997
2023-06-15,125.209999
2023-06-16,127.709999
2023-06-17,127.02499949999999
2023-06-18,126.34
2023-06-19,125.6550005
2023-06-20,124.970001
2023-06-21,125.639999
2023-06-22,125.309998
2023-06-23,129.110001
2023-06-24,129.18333466666667
2023-06-25,129.25666833333335
2023-06-26,129.330002
2023-06-27,128.630005
2023-06-28,128.940002
2023-06-29,128.770004
2023-06-30,129.470001
2023-07-01,129.920003
2023-07-02,130.370005
2023-07-03,130.820007
2023-07-04,130.53000600000001
2023-07-05,130.240005
2023-07-06,128.25
2023-07-07,128.589996
2023-07-08,128.74999966666667
2023-07-09,128.91000333333335
2023-07-10,129.070007
2023-07-11,127.75
2023-07-12,130.309998
2023-07-13,134.039993
2023-07-14,134.059998
2023-07-15,134.22666466666666
2023-07-16,134.39333133333335
2023-07-17,134.559998
2023-07-18,132.710007
2023-07-19,133.389999
2023-07-20,134.070007
2023-07-21,131.339996
2023-07-22,130.99666333333334
2023-07-23,130.65333066666668
2023-07-24,130.309998
2023-07-25,129.309998
2023-07-26,126.510002
2023-07-27,131.0
2023-07-28,129.690002
2023-07-29,130.86000033333332
2023-07-30,132.02999866666667
2023-07-31,133.199997
2023-08-01,133.550003
2023-08-02,130.149994
2023-08-03,127.480003
2023-08-04,141.059998
2023-08-05,141.036667
2023-08-06,141.013336
2023-08-07,140.990005
2023-08-08,140.619995
2023-08-09,139.970001
2023-08-10,139.070007
2023-08-11,137.399994
2023-08-12,137.699997
2023-08-13,138.0
2023-08-14,138.300003
2023-08-15,140.050003
2023-08-16,137.190002
2023-08-17,135.460007
2023-08-18,131.619995
2023-08-19,132.326665
2023-08-20,133.033335
2023-08-21,133.740005
2023-08-22,135.080002
2023-08-23,134.5
2023-08-24,136.399994
2023-08-25,132.470001
2023-08-26,132.906667
2023-08-27,133.343333
2023-08-28,133.779999
2023-08-29,133.380005
2023-08-30,134.929993
2023-08-31,135.059998
2023-09-01,139.460007
2023-09-02,139.02750425
2023-09-03,138.5950015
2023-09-04,138.16249875
2023-09-05,137.729996
2023-09-06,136.320007
2023-09-07,133.899994
2023-09-08,136.860001
2023-09-09,137.49000066666667
2023-09-10,138.12000033333334
2023-09-11,138.75
2023-09-12,142.320007
2023-09-13,140.949997
2023-09-14,145.080002
2023-09-15,142.690002
2023-09-16,141.95333333333332
2023-09-17,141.21666466666667
2023-09-18,140.479996
2023-09-19,138.699997
2023-09-20,138.550003
2023-09-21,131.940002
2023-09-22,131.110001
2023-09-23,130.52666766666667
2023-09-24,129.94333433333335
2023-09-25,129.360001
2023-09-26,130.119995
2023-09-27,125.760002
2023-09-28,124.040001
2023-09-29,128.199997
2023-09-30,127.893331
2023-10-01,127.586665
2023-10-02,127.279999
2023-10-03,128.059998
2023-10-04,126.059998
2023-10-05,126.709999
2023-10-06,124.160004
2023-10-07,124.84666966666667
2023-10-08,125.53333533333333
2023-10-09,126.220001
2023-10-10,128.820007
2023-10-11,129.740005
2023-10-12,132.169998
2023-10-13,132.979996
2023-10-14,132.21666466666667
2023-10-15,131.45333333333332
2023-10-16,130.690002
2023-10-17,130.389999
2023-10-18,129.899994
2023-10-19,130.570007
2023-10-20,128.050003
2023-10-21,126.91000100000001
2023-10-22,125.769999
2023-10-23,124.629997
2023-10-24,127.739998
2023-10-25,126.040001
2023-10-26,120.629997
2023-10-27,126.199997
2023-10-28,127.37333166666666
2023-10-29,128.54666633333332
2023-10-30,129.720001
2023-10-31,132.75
2023-11-01,133.960007
2023-11-02,138.729996
2023-11-03,138.990005
2023-11-04,138.913335
2023-11-05,138.836665
2023-11-06,138.759995
2023-11-07,140.550003
2023-11-08,142.970001
2023-11-09,142.020004
2023-11-10,140.460007
2023-11-11,141.00000533333332
2023-11-12,141.54000366666668
2023-11-13,142.080002
2023-11-14,145.0
2023-11-15,147.059998
2023-11-16,140.910004
2023-11-17,142.660004
2023-11-18,143.48333766666667
2023-11-19,144.30667133333333
2023-11-20,145.130005
2023-11-21,143.910004
2023-11-22,144.570007
2023-11-23,145.635002
2023-11-24,146.699997
2023-11-25,146.97666433333333
2023-11-26,147.25333166666667
2023-11-27,147.529999
2023-11-28,146.979996
2023-11-29,147.850006
2023-11-30,144.759995
2023-12-01,146.0
2023-12-02,145.75
2023-12-03,145.5
2023-12-04,145.25
2023-12-05,143.550003
2023-12-06,147.580002
2023-12-07,146.149994
2023-12-08,145.479996
2023-12-09,145.53999866666666
2023-12-10,145.60000133333332
2023-12-11,145.660004
2023-12-12,145.520004
2023-12-13,148.119995
2023-12-14,149.929993
2023-12-15,148.380005
2023-12-16,149.10666933333334
2023-12-17,149.83333366666668
2023-12-18,150.559998
2023-12-19,154.399994
2023-12-20,152.899994
2023-12-21,153.300003
2023-12-22,153.770004
2023-12-23,153.7175025
2023-12-24,153.66500100000002
2023-12-25,153.6124995
2023-12-26,153.559998
2023-12-27,153.559998
2023-12-28,153.720001
2023-12-29,153.100006
2023-12-30,152.71000275
2023-12-31,152.3199995
2024-01-01,151.92999625000002
2024-01-02,151.539993
2024-01-03,149.199997
2024-01-04,145.589996
2024-01-05,144.690002
2024-01-06,145.37333633333333
2024-01-07,146.05667066666666
2024-01-08,146.740005
2024-01-09,148.330002
2024-01-10,152.059998
2024-01-11,155.039993
2024-01-12,155.389999
2024-01-13,154.92499899999999
2024-01-14,154.45999899999998
2024-01-15,153.994999
2024-01-16,153.529999
2024-01-17,151.490005
2024-01-18,152.770004
2024-01-19,153.830002
